"","ap_syndicated","collect_date","feeds","guid","language","media_id","media_name","media_url","processed_stories_id","publish_date","stories_id","title","url","word_count"
"1",FALSE,"2017-01-12 17:12:59.345446",NA,"http://redaccion.cubadebate.cu/?p=852601","es",56563,"cubadebate.cu","http://cubadebate.cu/",849768781,"2017-01-12 16:58:19",566353072,"Fuentes no oficiales: Barack Obama pone fin a la política &#8220;pies secos, pies mojados&#8221;","http://www.cubadebate.cu/noticias/2017/01/12/fuentes-no-oficiales-barack-obama-pone-fin-a-la-politica-pies-secos-pies-mojados/",NA
"2",FALSE,"2017-01-23 12:18:21.185065",NA,"http://www.euronews.com/2017/01/23/all-change-on-the-white-house-website-as-trump-makes-his-mark","en",39637,"euronews-en","http://www.euronews.net/",859300285,"2017-01-23 07:15:34",571027011,"All change on the White House website as Trump makes his mark","http://feedproxy.google.com/~r/euronews/en/home/~3/qsfSUQwAW3g/all-change-on-the-white-house-website-as-trump-makes-his-mark",NA
"3",FALSE,"2017-01-23 12:18:34.418842",NA,"http://www.euronews.com/2017/01/23/all-change-on-the-white-house-website-as-trump-makes-his-mark","en",62220,"euronews.net","http://euronews.net/",859301499,"2017-01-23 07:15:34",571028848,"All change on the White House website as Trump makes his mark","http://feedproxy.google.com/~r/euronews/en/home/~3/qsfSUQwAW3g/all-change-on-the-white-house-website-as-trump-makes-his-mark",NA
"4",FALSE,"2017-02-01 23:46:38.573575",NA,"http://www.inquisitr.com/?p=3942917","en",26924,"Inquisitr","http://www.inquisitr.com",866447685,"2017-02-01 23:18:41",575311635,"Standing Rock Protest Camp Evicted In Police Raid As &#8216;Cleanup&#8217; Begins At Site","http://www.inquisitr.com/3942917/standing-rock-protest-camp-evicted-in-police-raid-as-cleanup-begins-at-site/",NA
"5",FALSE,"2017-02-09 01:18:57.820068",NA,"http://it.euronews.com/2017/02/09/bolivia-invasione-di-cavallette-mette-a-rischio-produzione-agricola","it",39556,"euronews-it","http://it.euronews.net/",868773529,"2017-02-09 00:01:15",578486708,"Bolivia. Invasione di cavallette mette a rischio produzione agricola","http://feedproxy.google.com/~r/euronews/it/home/~3/ucxdRJZQKWg/bolivia-invasione-di-cavallette-mette-a-rischio-produzione-agricola",NA
"6",FALSE,"2017-02-19 12:25:30.175654",NA,"http://www.euronews.com/2017/02/19/ecuador-election-could-end-a-decade-of-left-wing-rule","en",62220,"euronews.net","http://euronews.net/",875121574,"2017-02-19 10:53:09",583207218,"Ecuador election could end a decade of left wing rule","http://feedproxy.google.com/~r/euronews/en/home/~3/ghI1OzbJYCA/ecuador-election-could-end-a-decade-of-left-wing-rule",NA
"7",FALSE,"2017-03-04 18:02:56.587593",NA,"http://lematin.ch/27523241","fr",41259,"lematin-CH","http://www.lematin.ch/",883551083,"2017-03-04 16:40:00",589288029,"Les footballeurs priés de respecter l'hymne","http://lematin.ch/sports/actu/Les-footballeurs-pries-de-respecter-l-hymne/story/27523241",NA
"8",FALSE,"2017-04-01 05:27:09.918999",NA,"http://heavy.com/?p=1426467","en",68329,"Heavy","http://www.heavy.com/#spider",898956832,"2017-04-01 04:22:05",602435317,"WATCH: Protesters Set Fire to Congress Building in Paraguay","http://heavy.com/sports/2017/04/protests-paraguay-set-fire-congress/",NA
"9",FALSE,"2017-04-02 04:37:46.487208",NA,"http://www.vetogate.com/2651499","ar",102769,"بوابة فيتو","http://vetogate.com",899399116,"2017-04-02 06:29:28",602789196,"بالفيديو والصور.. مئات الضحايا في كارثة السيول بكولومبيا","http://www.vetogate.com/2651499",NA
"10",FALSE,"2017-04-02 22:41:46.597719",NA,"http://stirileprotv.ro/stiri/international/momentul-in-care-un-tanar-este-ucis-in-timpul-protestelor-din-paraguay-ministrul-de-interne-si-seful-politiei-au-fost-demisi.html","ro",282092,"stirileprotv.ro","http://stirileprotv.ro/",899671810,"2017-04-02 10:18:00",603012417,"Momentul in care un tanar este ucis in timpul protestelor din Paraguay. Ministrul de Interne si seful Politiei au fost demisi","http://stirileprotv.ro/stiri/international/momentul-in-care-un-tanar-este-ucis-in-timpul-protestelor-din-paraguay-ministrul-de-interne-si-seful-politiei-au-fost-demisi.html",NA
